policy_id,customer_id,agent_id,policy_type,region,start_date,end_date,premium_amount,status,payment_method,auto_renew
POL000032,CUST003048,AGT04588,Tenant,Ontario,2024-04-29,2025-04-29,2454.86,Active,PAD,Yes
POL000033,CUST006838,AGT01604,Commercial,Saskatchewan,2021-05-29,2022-05-29,4734.48,Cancelled,Cheque,No
POL000034,CUST001506,AGT08416,Auto,British Columbia,2021-09-27,2022-09-27,5142.7,Cancelled,EFT,No
POL000035,CUST003591,AGT09825,Commercial,Saskatchewan,2021-11-15,2022-11-15,2068.59,Cancelled,Cheque,No
POL000036,CUST004650,AGT04984,Commercial,Manitoba,2021-02-17,2022-02-17,5357.16,Renewed,Cheque,Yes
POL000037,CUST003558,AGT03232,Life,Manitoba,2025-12-11,2026-12-11,6722.19,Active,Credit Card,No
POL000038,CUST006854,AGT09236,Auto,Ontario,2025-01-14,2026-01-14,1177.41,Active,Credit Card,No
POL000039,CUST001305,AGT04009,Home,Alberta,2023-02-20,2024-02-20,3698.9,Renewed,Cheque,No
POL000040,CUST001825,AGT06980,Auto,Alberta,2023-03-11,2024-03-10,767.56,Cancelled,PAD,Yes
POL000041,CUST004760,AGT00665,Home,Ontario,2022-10-17,2023-10-17,3412.9,Cancelled,Credit Card,No
POL000042,CUST007337,AGT05983,Tenant,Saskatchewan,2024-09-26,2025-09-26,3465.28,Cancelled,Credit Card,No
POL000043,CUST007994,AGT07259,Auto,Ontario,2023-03-10,2024-03-09,5104.61,Lapsed,PAD,No
POL000044,CUST001218,AGT06039,Commercial,Quebec,2025-07-21,2026-07-21,2391.58,Active,EFT,Yes
POL000045,CUST006712,AGT06937,Tenant,Quebec,2025-07-12,2026-07-12,5624.77,Cancelled,EFT,No
POL000046,CUST000112,AGT06512,Auto,British Columbia,2022-09-27,2023-09-27,3309.6,Cancelled,EFT,Yes
POL000047,CUST000949,AGT01381,Home,Quebec,2023-07-06,2024-07-05,4734.72,Renewed,EFT,No
POL000048,CUST001848,AGT03010,Tenant,Manitoba,2024-05-12,2025-05-12,5283.66,Lapsed,PAD,No
POL000049,CUST001646,AGT06932,Life,British Columbia,2022-08-04,2023-08-04,4224.65,Cancelled,Credit Card,No
POL000050,CUST001521,AGT08632,Auto,Quebec,2023-05-02,2024-05-01,4948.53,Cancelled,EFT,No
POL000051,CUST002374,AGT01134,Commercial,Saskatchewan,2024-07-15,2025-07-15,2040.18,Lapsed,EFT,Yes
POL000052,CUST000436,AGT07697,Life,Quebec,2021-08-26,2022-08-26,4031.78,Active,Cheque,Yes
POL000053,CUST006116,AGT05486,Home,British Columbia,2022-08-03,2023-08-03,2894.54,Active,EFT,No
POL000054,CUST005006,AGT08850,Farm,Saskatchewan,2022-09-26,2023-09-26,820.89,Renewed,Credit Card,No
POL000055,CUST002471,AGT09081,Commercial,Quebec,2023-02-22,2024-02-22,447.27,Cancelled,EFT,No
POL000056,CUST003516,AGT00421,Auto,Quebec,2022-09-19,2023-09-19,7061.16,Lapsed,PAD,No
POL000057,CUST004403,AGT07063,Commercial,British Columbia,2021-09-24,2022-09-24,1491.7,Active,PAD,Yes
POL000058,CUST001833,AGT06720,Commercial,Saskatchewan,2023-07-25,2024-07-24,7603.5,Renewed,EFT,No
POL000059,CUST004976,AGT00916,Commercial,Saskatchewan,2022-04-20,2023-04-20,6297.92,Active,EFT,Yes
POL000060,CUST005576,AGT08108,Auto,Saskatchewan,2023-10-17,2024-10-16,1884.05,Cancelled,EFT,No
POL000061,CUST007722,AGT04241,Commercial,Saskatchewan,2021-06-03,2022-06-03,3686.87,Cancelled,EFT,Yes
POL000062,CUST002091,AGT00460,Auto,British Columbia,2023-05-04,2024-05-03,3401.66,Lapsed,PAD,No
POL000063,CUST007496,AGT09538,Farm,Ontario,2025-10-30,2026-10-30,6589.95,Cancelled,EFT,Yes
POL000064,CUST005646,AGT04302,Life,Alberta,2022-07-01,2023-07-01,3861.07,Cancelled,PAD,No
POL000065,CUST002468,AGT08607,Farm,Alberta,2021-07-17,2022-07-17,596.04,Cancelled,EFT,Yes
POL000066,CUST002001,AGT03337,Life,Saskatchewan,2024-02-25,2025-02-24,6184.13,Renewed,Credit Card,Yes
POL000067,CUST001958,AGT01899,Tenant,Quebec,2024-07-18,2025-07-18,6208.02,Renewed,Credit Card,No
POL000068,CUST006757,AGT04071,Farm,Saskatchewan,2022-01-31,2023-01-31,706.12,Cancelled,Credit Card,Yes
POL000069,CUST005545,AGT06316,Home,Quebec,2024-01-18,2025-01-17,4721.76,Lapsed,Cheque,No
POL000070,CUST006073,AGT09372,Home,Alberta,2023-05-04,2024-05-03,726.13,Lapsed,Credit Card,No
POL000071,CUST002937,AGT08650,Commercial,British Columbia,2025-11-27,2026-11-27,4620.3,Active,Cheque,Yes
POL000072,CUST002430,AGT04390,Home,Quebec,2025-07-11,2026-07-11,965.26,Renewed,Credit Card,Yes
POL000073,CUST000030,AGT06511,Auto,Ontario,2025-06-26,2026-06-26,2559.13,Cancelled,PAD,No
POL000074,CUST005157,AGT00211,Tenant,Manitoba,2021-06-30,2022-06-30,6376.8,Active,Cheque,No
POL000075,CUST007122,AGT09547,Life,Saskatchewan,2022-06-21,2023-06-21,5807.93,Cancelled,Cheque,Yes
POL000076,CUST002459,AGT09665,Auto,Manitoba,2021-12-13,2022-12-13,3894.49,Lapsed,PAD,No
POL000077,CUST005640,AGT03768,Tenant,Saskatchewan,2024-03-09,2025-03-09,2537.71,Cancelled,Cheque,No
POL000078,CUST007510,AGT08871,Farm,Manitoba,2025-06-01,2026-06-01,576.88,Renewed,PAD,Yes
POL000079,CUST004846,AGT09838,Tenant,British Columbia,2021-09-13,2022-09-13,3408.18,Cancelled,Cheque,No
POL000080,CUST004241,AGT02793,Tenant,Ontario,2024-08-03,2025-08-03,5973.82,Renewed,EFT,Yes
POL000081,CUST001756,AGT00771,Tenant,Alberta,2023-06-09,2024-06-08,1450.88,Active,EFT,Yes
POL000082,CUST003587,AGT09591,Commercial,British Columbia,2025-08-29,2026-08-29,7081.28,Renewed,PAD,Yes
POL000083,CUST007586,AGT03255,Life,Ontario,2025-03-25,2026-03-25,3409.56,Lapsed,EFT,No
POL000084,CUST000325,AGT00983,Home,Ontario,2023-07-06,2024-07-05,5542.65,Lapsed,Cheque,Yes
POL000085,CUST006953,AGT07020,Auto,Manitoba,2021-09-02,2022-09-02,1746.76,Cancelled,EFT,Yes
POL000086,CUST006988,AGT03910,Tenant,British Columbia,2021-09-11,2022-09-11,2218.67,Renewed,Credit Card,Yes
POL000087,CUST007287,AGT05288,Commercial,Ontario,2021-02-03,2022-02-03,5088.81,Active,PAD,No
POL000088,CUST003113,AGT08262,Auto,Manitoba,2021-01-06,2022-01-06,5046.21,Lapsed,EFT,Yes
POL000089,CUST002067,AGT06063,Commercial,Ontario,2021-10-18,2022-10-18,6467.52,Cancelled,PAD,Yes
POL000090,CUST006904,AGT00821,Commercial,Quebec,2024-10-15,2025-10-15,5258.12,Active,EFT,Yes
POL000091,CUST006273,AGT09457,Commercial,Alberta,2021-01-31,2022-01-31,4573.53,Renewed,EFT,No
POL000092,CUST001867,AGT05291,Life,British Columbia,2022-06-25,2023-06-25,2510.94,Renewed,Credit Card,No
POL000093,CUST005513,AGT01852,Tenant,Saskatchewan,2024-12-06,2025-12-06,5287.73,Renewed,PAD,Yes
POL000094,CUST000155,AGT06682,Farm,Alberta,2023-03-09,2024-03-08,531.37,Active,PAD,Yes
POL000095,CUST000570,AGT02947,Auto,Alberta,2022-03-13,2023-03-13,2132.84,Renewed,EFT,Yes
POL000096,CUST004127,AGT04639,Commercial,British Columbia,2023-05-26,2024-05-25,7987.31,Active,Credit Card,No
POL000097,CUST000347,AGT03240,Tenant,Alberta,2024-05-02,2025-05-02,1975.17,Cancelled,PAD,Yes
POL000098,CUST001195,AGT08317,Farm,Manitoba,2023-03-31,2024-03-30,3010.01,Active,Cheque,Yes
POL000099,CUST007313,AGT09085,Tenant,Alberta,2022-08-21,2023-08-21,5176.46,Renewed,PAD,Yes
POL000100,CUST006663,AGT01069,Tenant,British Columbia,2021-05-30,2022-05-30,5211.84,Renewed,Cheque,No
POL000101,CUST001590,AGT04332,Commercial,Quebec,2022-04-24,2023-04-24,7518.46,Renewed,EFT,No
POL000102,CUST001055,AGT03404,Home,Alberta,2023-12-24,2024-12-23,6022.77,Lapsed,EFT,Yes
POL000103,CUST007378,AGT08276,Commercial,Quebec,2022-05-07,2023-05-07,2608.83,Renewed,Cheque,Yes
POL000104,CUST005437,AGT05598,Home,Manitoba,2023-11-06,2024-11-05,4338.42,Lapsed,Cheque,No
POL000105,CUST002315,AGT04353,Farm,Ontario,2021-03-04,2022-03-04,6333.79,Cancelled,PAD,Yes
POL000106,CUST005192,AGT08387,Life,Quebec,2023-01-23,2024-01-23,5177.96,Lapsed,Credit Card,Yes
POL000107,CUST002184,AGT03825,Life,Alberta,2024-04-05,2025-04-05,3047.4,Cancelled,EFT,No
POL000108,CUST004186,AGT09668,Life,British Columbia,2025-03-06,2026-03-06,450.13,Active,EFT,Yes
POL000109,CUST000235,AGT07680,Tenant,Saskatchewan,2024-01-03,2025-01-02,7541.1,Lapsed,Cheque,No
POL000110,CUST006248,AGT06942,Home,Alberta,2023-07-14,2024-07-13,6949.24,Cancelled,PAD,No
POL000111,CUST004834,AGT08435,Auto,Manitoba,2021-03-23,2022-03-23,7850.63,Cancelled,Cheque,No
POL000112,CUST001615,AGT03543,Life,Saskatchewan,2024-07-18,2025-07-18,7933.03,Cancelled,PAD,No
POL000113,CUST002063,AGT07270,Farm,Alberta,2022-04-19,2023-04-19,7512.19,Renewed,EFT,Yes
POL000114,CUST006396,AGT07276,Farm,Saskatchewan,2022-06-12,2023-06-12,6506.1,Active,Cheque,No
POL000115,CUST002852,AGT02149,Life,British Columbia,2022-05-28,2023-05-28,3216.84,Lapsed,Cheque,Yes
POL000116,CUST004476,AGT00110,Life,Quebec,2022-08-11,2023-08-11,2367.62,Lapsed,Credit Card,Yes
POL000117,CUST006347,AGT00651,Tenant,Manitoba,2021-07-20,2022-07-20,7155.01,Renewed,EFT,No
POL000118,CUST003113,AGT01074,Life,Ontario,2025-07-03,2026-07-03,6826.61,Renewed,Cheque,No
POL000119,CUST002131,AGT01700,Farm,Quebec,2021-05-09,2022-05-09,7242.78,Renewed,Cheque,Yes
POL000120,CUST002678,AGT06573,Commercial,British Columbia,2021-03-03,2022-03-03,7085.77,Renewed,PAD,No
POL000121,CUST001787,AGT00523,Auto,Ontario,2023-05-17,2024-05-16,7296.49,Renewed,EFT,No
POL000122,CUST001907,AGT05493,Commercial,Manitoba,2025-10-02,2026-10-02,3314.96,Renewed,EFT,Yes
POL000123,CUST006872,AGT00461,Auto,British Columbia,2023-05-24,2024-05-23,6977.06,Active,PAD,No
POL000124,CUST004602,AGT07037,Home,Ontario,2022-10-21,2023-10-21,7087.0,Renewed,Cheque,No
POL000125,CUST005821,AGT01660,Life,Saskatchewan,2024-11-12,2025-11-12,3045.43,Renewed,PAD,Yes
POL000126,CUST006079,AGT06865,Auto,Manitoba,2023-09-12,2024-09-11,4873.11,Active,PAD,Yes
POL000127,CUST000898,AGT00453,Tenant,Manitoba,2023-09-21,2024-09-20,3582.76,Lapsed,PAD,Yes
POL000128,CUST004974,AGT08350,Home,Ontario,2024-11-14,2025-11-14,3787.35,Lapsed,PAD,No
POL000129,CUST007867,AGT03006,Auto,Ontario,2025-05-31,2026-05-31,1844.87,Renewed,Cheque,Yes
POL000130,CUST003490,AGT02196,Tenant,Manitoba,2021-07-30,2022-07-30,3368.19,Renewed,Credit Card,No
POL000131,CUST000975,AGT04398,Farm,Quebec,2021-05-25,2022-05-25,3755.84,Active,EFT,Yes
POL000132,CUST005636,AGT05176,Life,British Columbia,2021-08-27,2022-08-27,4379.44,Renewed,PAD,No
POL000133,CUST006153,AGT06463,Home,Alberta,2023-11-14,2024-11-13,4340.36,Active,PAD,Yes
POL000134,CUST005857,AGT04596,Farm,Saskatchewan,2024-11-06,2025-11-06,2440.55,Lapsed,EFT,Yes
POL000135,CUST004202,AGT03682,Tenant,Saskatchewan,2024-09-30,2025-09-30,4619.8,Renewed,Cheque,Yes
POL000136,CUST005289,AGT05004,Home,Manitoba,2023-02-07,2024-02-07,6435.79,Cancelled,PAD,Yes
POL000137,CUST005006,AGT05938,Farm,Ontario,2022-09-06,2023-09-06,7419.3,Lapsed,EFT,No
POL000138,CUST005487,AGT05555,Commercial,Quebec,2023-08-16,2024-08-15,2800.33,Renewed,EFT,Yes
POL000139,CUST007942,AGT05612,Farm,British Columbia,2022-10-01,2023-10-01,6137.88,Lapsed,Cheque,Yes
POL000140,CUST006520,AGT03276,Farm,British Columbia,2025-10-31,2026-10-31,4112.03,Lapsed,PAD,No
POL000141,CUST002483,AGT00851,Life,Alberta,2024-09-11,2025-09-11,4965.38,Cancelled,Cheque,No
POL000142,CUST004675,AGT00986,Auto,Alberta,2024-02-26,2025-02-25,4358.96,Lapsed,EFT,Yes
POL000143,CUST004999,AGT09529,Home,Manitoba,2023-01-01,2024-01-01,7654.48,Active,Cheque,No
POL000144,CUST004153,AGT07013,Tenant,Saskatchewan,2024-09-30,2025-09-30,2498.14,Lapsed,EFT,Yes
POL000145,CUST001375,AGT00207,Tenant,British Columbia,2025-07-09,2026-07-09,5529.93,Renewed,Credit Card,Yes
POL000146,CUST004710,AGT00781,Commercial,British Columbia,2021-09-04,2022-09-04,7919.41,Renewed,Cheque,Yes
POL000147,CUST005148,AGT02066,Auto,Ontario,2021-05-15,2022-05-15,3481.77,Cancelled,Cheque,Yes
POL000148,CUST003399,AGT02512,Life,British Columbia,2023-08-03,2024-08-02,5896.06,Active,EFT,No
POL000149,CUST002134,AGT06015,Commercial,Saskatchewan,2022-12-19,2023-12-19,7467.59,Renewed,EFT,Yes
POL000150,CUST003608,AGT00787,Commercial,Alberta,2022-01-24,2023-01-24,910.05,Active,Cheque,No
POL000151,CUST006365,AGT05789,Auto,Manitoba,2023-09-18,2024-09-17,7091.01,Lapsed,Cheque,No
POL000152,CUST002089,AGT03373,Commercial,Alberta,2024-02-12,2025-02-11,7812.86,Renewed,Credit Card,No
POL000153,CUST007644,AGT06611,Life,Alberta,2025-10-15,2026-10-15,5629.73,Renewed,Credit Card,No
POL000154,CUST002696,AGT08273,Home,Ontario,2025-06-30,2026-06-30,4578.9,Active,EFT,Yes
POL000155,CUST004932,AGT03366,Commercial,Manitoba,2022-04-29,2023-04-29,2431.65,Renewed,Credit Card,No
POL000156,CUST000648,AGT05648,Commercial,British Columbia,2023-09-04,2024-09-03,6187.94,Active,Credit Card,Yes
POL000157,CUST007404,AGT07982,Farm,Alberta,2022-06-14,2023-06-14,6395.18,Cancelled,Credit Card,No
POL000158,CUST002692,AGT07100,Life,Ontario,2024-09-04,2025-09-04,6506.62,Active,Credit Card,Yes
POL000159,CUST007549,AGT00068,Life,Quebec,2023-06-29,2024-06-28,7955.61,Active,Cheque,No
POL000160,CUST001682,AGT09652,Home,Alberta,2025-10-01,2026-10-01,1477.14,Renewed,Cheque,Yes
POL000161,CUST003858,AGT08296,Auto,Quebec,2022-03-21,2023-03-21,7889.04,Renewed,PAD,Yes
POL000162,CUST005929,AGT04507,Commercial,Alberta,2021-08-15,2022-08-15,7996.31,Lapsed,EFT,Yes
POL000163,CUST003033,AGT06667,Farm,Saskatchewan,2025-03-12,2026-03-12,7290.82,Lapsed,PAD,No
POL000164,CUST004817,AGT02661,Auto,Quebec,2023-03-06,2024-03-05,1418.6,Active,PAD,No
POL000165,CUST007116,AGT01667,Tenant,Saskatchewan,2021-10-17,2022-10-17,4271.75,Renewed,EFT,Yes
POL000166,CUST001207,AGT09702,Life,Quebec,2021-03-05,2022-03-05,7997.07,Active,Credit Card,Yes
POL000167,CUST000981,AGT09636,Commercial,Saskatchewan,2022-02-18,2023-02-18,4357.45,Cancelled,PAD,No
POL000168,CUST000566,AGT03144,Farm,Ontario,2024-04-23,2025-04-23,7438.83,Lapsed,EFT,Yes
POL000169,CUST007443,AGT04619,Commercial,Manitoba,2023-10-17,2024-10-16,7380.67,Lapsed,Cheque,No
POL000170,CUST005077,AGT02041,Life,Manitoba,2024-11-04,2025-11-04,4187.56,Active,PAD,Yes
POL000171,CUST000987,AGT08055,Auto,British Columbia,2024-03-09,2025-03-09,6189.35,Lapsed,PAD,Yes
POL000172,CUST005731,AGT07495,Tenant,Ontario,2024-12-11,2025-12-11,1104.33,Lapsed,EFT,Yes
POL000173,CUST007560,AGT05225,Tenant,Ontario,2023-02-02,2024-02-02,604.31,Cancelled,Cheque,No
POL000174,CUST002883,AGT03149,Auto,Ontario,2022-10-24,2023-10-24,7849.28,Lapsed,EFT,Yes
POL000175,CUST003907,AGT00561,Auto,Saskatchewan,2025-07-22,2026-07-22,5271.36,Active,Cheque,Yes
POL000176,CUST005653,AGT07697,Home,Quebec,2021-01-26,2022-01-26,6619.28,Renewed,EFT,No
POL000177,CUST002919,AGT03338,Farm,Quebec,2025-03-18,2026-03-18,7355.67,Active,Cheque,No
POL000178,CUST002489,AGT05601,Commercial,Manitoba,2025-03-18,2026-03-18,2542.92,Renewed,Cheque,Yes
POL000179,CUST001759,AGT07451,Auto,British Columbia,2023-08-13,2024-08-12,7260.96,Cancelled,PAD,No
POL000180,CUST002095,AGT05118,Tenant,Manitoba,2021-10-29,2022-10-29,7615.1,Active,PAD,Yes
POL000181,CUST007438,AGT09693,Tenant,Alberta,2023-02-13,2024-02-13,2604.79,Lapsed,EFT,Yes
POL000182,CUST000382,AGT00986,Life,Alberta,2025-11-28,2026-11-28,6301.55,Cancelled,Cheque,Yes
POL000183,CUST002556,AGT00838,Auto,Manitoba,2025-11-04,2026-11-04,4081.95,Active,Cheque,Yes
POL000184,CUST006427,AGT09982,Commercial,Alberta,2023-11-06,2024-11-05,7536.02,Cancelled,Credit Card,Yes
POL000185,CUST007060,AGT08095,Tenant,Manitoba,2022-02-25,2023-02-25,4767.97,Renewed,PAD,No
POL000186,CUST001824,AGT08033,Commercial,Manitoba,2025-09-10,2026-09-10,1360.32,Renewed,Credit Card,Yes
POL000187,CUST005900,AGT09363,Farm,Manitoba,2022-11-09,2023-11-09,5312.9,Active,Credit Card,No
POL000188,CUST002459,AGT07937,Life,Ontario,2024-09-28,2025-09-28,7897.78,Cancelled,Credit Card,No
POL000189,CUST000848,AGT05464,Life,Ontario,2025-05-26,2026-05-26,4998.47,Renewed,Credit Card,Yes
POL000190,CUST003440,AGT02641,Commercial,Alberta,2022-11-08,2023-11-08,7171.67,Active,Credit Card,No
POL000191,CUST000477,AGT09818,Home,Quebec,2021-03-23,2022-03-23,6526.58,Cancelled,PAD,No
POL000192,CUST004556,AGT01575,Commercial,Quebec,2021-11-02,2022-11-02,7966.15,Cancelled,Credit Card,No
POL000193,CUST004731,AGT07233,Tenant,Saskatchewan,2023-08-28,2024-08-27,2012.81,Active,Cheque,No
POL000194,CUST007738,AGT01050,Commercial,Ontario,2022-10-23,2023-10-23,2030.65,Lapsed,PAD,Yes
POL000195,CUST006917,AGT07567,Home,Alberta,2023-03-02,2024-03-01,4907.66,Cancelled,Credit Card,No
POL000196,CUST006432,AGT02250,Life,Saskatchewan,2024-02-04,2025-02-03,7147.11,Renewed,Cheque,No
POL000197,CUST004814,AGT08879,Life,Quebec,2021-07-16,2022-07-16,6654.61,Lapsed,Credit Card,No
POL000198,CUST005683,AGT05686,Commercial,Manitoba,2022-11-30,2023-11-30,3492.08,Active,EFT,No
POL000199,CUST004541,AGT04132,Home,Saskatchewan,2025-10-27,2026-10-27,6478.88,Active,Credit Card,Yes
POL000200,CUST001345,AGT00357,Commercial,Ontario,2021-11-26,2022-11-26,3453.94,Active,EFT,No
POL000201,CUST001409,AGT08213,Auto,Quebec,2023-09-27,2024-09-26,6329.87,Cancelled,Credit Card,Yes
POL000202,CUST007023,AGT08244,Farm,Saskatchewan,2022-01-07,2023-01-07,5705.31,Lapsed,EFT,Yes
POL000203,CUST006152,AGT08372,Farm,Alberta,2025-01-18,2026-01-18,1742.47,Cancelled,PAD,Yes
POL000204,CUST000611,AGT05677,Home,Saskatchewan,2022-04-18,2023-04-18,7164.96,Lapsed,EFT,No
POL000205,CUST006416,AGT08622,Home,Saskatchewan,2024-08-08,2025-08-08,6355.8,Renewed,PAD,Yes
POL000206,CUST003836,AGT08704,Auto,Quebec,2022-12-08,2023-12-08,2179.17,Renewed,Credit Card,Yes
POL000207,CUST000143,AGT05332,Farm,British Columbia,2022-04-01,2023-04-01,1528.62,Cancelled,PAD,No
POL000208,CUST000334,AGT01122,Farm,Alberta,2021-04-10,2022-04-10,4499.77,Active,PAD,Yes
POL000209,CUST003934,AGT03481,Life,Manitoba,2021-02-03,2022-02-03,7531.54,Active,Credit Card,Yes
POL000210,CUST000716,AGT02232,Tenant,Saskatchewan,2021-12-07,2022-12-07,1911.0,Renewed,Cheque,Yes
POL000211,CUST000780,AGT00987,Home,Alberta,2025-08-15,2026-08-15,3766.29,Cancelled,Cheque,Yes
POL000212,CUST000386,AGT05702,Farm,Alberta,2025-11-04,2026-11-04,661.68,Active,Credit Card,No
POL000213,CUST002635,AGT08265,Home,Manitoba,2021-08-28,2022-08-28,6506.59,Active,Credit Card,Yes
POL000214,CUST007185,AGT05290,Home,Saskatchewan,2025-09-11,2026-09-11,5721.03,Active,PAD,Yes
POL000215,CUST006995,AGT05630,Home,Alberta,2025-01-25,2026-01-25,1262.84,Lapsed,EFT,No
POL000216,CUST004271,AGT02978,Commercial,Quebec,2021-05-03,2022-05-03,6495.85,Lapsed,Credit Card,No
POL000217,CUST004569,AGT00136,Commercial,Manitoba,2022-05-20,2023-05-20,4879.36,Cancelled,PAD,No
POL000218,CUST004918,AGT01528,Home,Ontario,2021-08-09,2022-08-09,3211.05,Cancelled,Credit Card,No
POL000219,CUST005770,AGT08816,Life,Alberta,2023-02-21,2024-02-21,6386.23,Cancelled,EFT,Yes
POL000220,CUST004637,AGT05724,Life,British Columbia,2021-03-28,2022-03-28,6432.68,Cancelled,PAD,No
POL000221,CUST000536,AGT02609,Commercial,Ontario,2024-05-05,2025-05-05,7056.78,Renewed,PAD,No
POL000222,CUST003875,AGT00917,Tenant,British Columbia,2025-11-12,2026-11-12,6214.24,Lapsed,Cheque,No
POL000223,CUST000111,AGT09457,Home,Quebec,2022-11-23,2023-11-23,4584.97,Cancelled,EFT,Yes
POL000224,CUST003090,AGT04426,Home,Saskatchewan,2024-08-17,2025-08-17,7510.52,Cancelled,Cheque,Yes
POL000225,CUST004468,AGT06081,Tenant,Quebec,2021-07-25,2022-07-25,4011.2,Renewed,Credit Card,No
POL000226,CUST003698,AGT05913,Commercial,Quebec,2025-09-24,2026-09-24,7977.15,Renewed,PAD,No
POL000227,CUST000478,AGT06389,Home,Alberta,2021-05-27,2022-05-27,2566.46,Active,PAD,Yes
POL000228,CUST001694,AGT05717,Auto,Manitoba,2023-08-27,2024-08-26,3367.99,Lapsed,Credit Card,No
POL000229,CUST006796,AGT07650,Life,Alberta,2024-06-29,2025-06-29,471.16,Renewed,EFT,Yes
POL000230,CUST003514,AGT09912,Home,Alberta,2025-12-16,2026-12-16,6643.36,Cancelled,PAD,No
POL000231,CUST003821,AGT05362,Tenant,Alberta,2025-01-02,2026-01-02,6073.11,Cancelled,Credit Card,No
POL000232,CUST007590,AGT05009,Auto,Manitoba,2022-09-05,2023-09-05,2392.4,Renewed,PAD,No
POL000233,CUST001430,AGT06785,Auto,Manitoba,2023-03-28,2024-03-27,7193.07,Active,Credit Card,Yes
POL000234,CUST007211,AGT03822,Auto,Ontario,2023-12-31,2024-12-30,7347.35,Cancelled,Credit Card,No
POL000235,CUST007388,AGT02954,Life,Saskatchewan,2022-11-22,2023-11-22,6816.56,Lapsed,EFT,No
POL000236,CUST005555,AGT07437,Home,British Columbia,2023-08-23,2024-08-22,3208.28,Renewed,Credit Card,No
POL000237,CUST000479,AGT01326,Auto,Alberta,2021-02-17,2022-02-17,1285.83,Renewed,EFT,Yes
