claim_id,policy_id,agent_id,claim_type,claim_date,resolution_date,claim_amount,approved_amount,status,region,days_to_resolve
CLM000043,POL002179,AGT05912,Theft,2021-11-20,2022-02-01,34767.79,19403.27,Open,Ontario,73
CLM000044,POL007885,AGT05863,Fire,2022-03-30,2022-05-07,46248.16,24880.38,Open,Ontario,38
CLM000045,POL000868,AGT02949,Water Damage,2023-07-28,2023-10-17,12874.95,6502.78,Approved,British Columbia,81
CLM000046,POL001673,AGT03159,Water Damage,2022-07-13,2022-09-11,11795.42,6861.91,In Review,Manitoba,60
CLM000047,POL006989,AGT04045,Collision,2023-05-06,2023-06-19,3990.88,2819.08,In Review,Quebec,44
CLM000048,POL000491,AGT04329,Liability,2025-02-01,2025-02-28,42936.61,16127.86,In Review,British Columbia,27
CLM000049,POL005554,AGT09671,Water Damage,2025-10-16,2025-11-24,13983.66,12009.43,Open,Manitoba,39
CLM000050,POL009308,AGT09017,Theft,2022-05-16,2022-08-25,27826.28,24611.43,In Review,Alberta,101
CLM000051,POL002839,AGT08805,Fire,2023-04-29,2023-05-10,45107.33,3925.24,Open,Saskatchewan,11
CLM000052,POL004943,AGT00137,Water Damage,2021-04-18,2021-05-21,58501.96,2644.02,In Review,Manitoba,33
CLM000053,POL001628,AGT06196,Liability,2022-03-01,2022-04-24,27352.29,8154.08,Open,Ontario,54
CLM000054,POL006066,AGT06054,Collision,2022-07-07,2022-07-08,51403.2,4679.98,Denied,Ontario,1
CLM000055,POL008637,AGT05677,Fire,2022-05-03,2022-07-14,2402.31,201.72,Open,Manitoba,72
CLM000056,POL007006,AGT08475,Flood,2023-11-27,2024-03-16,5638.11,4539.01,Denied,Ontario,110
CLM000057,POL006711,AGT05655,Collision,2025-09-11,2025-10-05,22123.49,3743.7,Approved,Quebec,24
CLM000058,POL004195,AGT00085,Water Damage,2022-10-16,2022-11-12,52442.09,32869.9,Denied,Ontario,27
CLM000059,POL001568,AGT05118,Wind/Hail,2024-02-11,2024-04-04,14142.2,0,Denied,Alberta,53
CLM000060,POL002376,AGT07796,Wind/Hail,2025-05-30,2025-06-03,58960.16,0,Denied,Ontario,4
CLM000061,POL009562,AGT03218,Theft,2022-09-20,2022-12-06,29354.61,13634.41,Open,Alberta,77
CLM000062,POL007758,AGT02339,Water Damage,2024-01-02,2024-04-01,2216.64,1877.33,Closed,Ontario,90
CLM000063,POL003363,AGT06652,Flood,2021-12-15,2022-01-11,69099.81,0,In Review,Quebec,27
CLM000064,POL000153,AGT07914,Wind/Hail,2021-08-12,2021-11-22,61924.84,11307.04,In Review,Saskatchewan,102
CLM000065,POL008064,AGT07463,Collision,2024-09-21,2024-09-26,25101.25,14553.94,In Review,Saskatchewan,5
CLM000066,POL003134,AGT08955,Water Damage,2023-08-17,2023-11-13,56364.06,22459.56,Denied,British Columbia,88
CLM000067,POL002002,AGT07553,Flood,2023-12-05,2024-01-09,13270.37,12420.94,In Review,Ontario,35
CLM000068,POL003698,AGT05115,Collision,2021-05-17,2021-08-18,39681.91,0,Open,British Columbia,93
CLM000069,POL008777,AGT00928,Wind/Hail,2021-08-16,2021-10-04,15722.16,8269.85,Open,Quebec,49
CLM000070,POL008553,AGT04147,Wind/Hail,2022-05-15,2022-07-24,55452.2,0,Closed,Saskatchewan,70
CLM000071,POL007465,AGT05866,Liability,2023-07-16,2023-08-15,61230.87,31853.64,Denied,Manitoba,30
CLM000072,POL000086,AGT07964,Wind/Hail,2023-01-04,2023-04-04,60302.76,4668.78,In Review,Saskatchewan,90
CLM000073,POL005826,AGT03132,Collision,2021-02-15,2021-06-08,55674.45,4825.49,Closed,Quebec,113
CLM000074,POL001105,AGT00377,Theft,2025-10-24,2025-12-05,39512.48,3802.7,In Review,Manitoba,42
CLM000075,POL002758,AGT01570,Flood,2022-08-18,2022-10-10,10007.29,6095.76,Denied,Quebec,53
CLM000076,POL002408,AGT02789,Theft,2025-10-18,2026-01-05,8125.54,4434.78,Closed,Quebec,79
CLM000077,POL003262,AGT06997,Theft,2024-09-16,2024-10-22,28211.57,28117.84,Approved,Quebec,36
CLM000078,POL001348,AGT04457,Flood,2023-09-06,2024-01-03,31236.47,8368.31,In Review,Alberta,119
CLM000079,POL009994,AGT01983,Liability,2023-09-09,2023-11-25,36910.67,21834.63,Denied,Quebec,77
CLM000080,POL001094,AGT05428,Flood,2023-02-16,2023-04-20,58462.79,0,Approved,Manitoba,63
CLM000081,POL001974,AGT06065,Theft,2022-07-03,2022-09-01,2542.08,0,Closed,British Columbia,60
CLM000082,POL009603,AGT04374,Wind/Hail,2025-02-15,2025-04-26,61113.79,0,Approved,Manitoba,70
CLM000083,POL000311,AGT08725,Wind/Hail,2025-09-27,2025-11-10,10998.67,0,Open,Ontario,44
CLM000084,POL003819,AGT05851,Flood,2022-09-11,2022-12-30,17135.2,15333.23,Denied,Quebec,110
CLM000085,POL007862,AGT02127,Fire,2023-12-09,2023-12-14,11991.27,6891.96,Approved,Ontario,5
CLM000086,POL003552,AGT00146,Collision,2024-07-03,2024-09-04,15112.25,8182.83,Open,Ontario,63
CLM000087,POL007448,AGT00398,Fire,2025-11-14,2026-02-19,46792.15,2848.44,Open,Ontario,97
CLM000088,POL000440,AGT05977,Water Damage,2021-10-24,2021-12-27,21708.61,18794.32,Open,Ontario,64
CLM000089,POL009174,AGT01534,Flood,2023-05-25,2023-08-20,9200.34,7261.39,Denied,Alberta,87
CLM000090,POL002758,AGT01251,Collision,2023-05-20,2023-07-21,17165.32,13972.45,Denied,Manitoba,62
CLM000091,POL007630,AGT03390,Liability,2022-04-29,2022-05-16,17055.73,14314.25,Open,Alberta,17
CLM000092,POL009412,AGT05756,Wind/Hail,2021-03-07,2021-04-18,36703.13,4072.69,Denied,Ontario,42
CLM000093,POL009910,AGT04423,Fire,2021-05-03,2021-06-30,17956.19,6500.36,Closed,Manitoba,58
CLM000094,POL001182,AGT09134,Collision,2024-07-16,2024-10-24,74281.24,6423.62,Approved,Saskatchewan,100
CLM000095,POL001086,AGT04808,Fire,2025-06-06,2025-09-05,30968.07,14167.79,Open,Saskatchewan,91
CLM000096,POL000012,AGT06515,Fire,2021-10-27,2022-02-13,45350.03,19021.77,In Review,Ontario,109
CLM000097,POL009914,AGT07999,Liability,2021-02-28,2021-03-02,33830.85,20721.77,Approved,Manitoba,2
CLM000098,POL007314,AGT06492,Fire,2024-06-14,2024-09-18,51540.45,5488.68,Denied,Quebec,96
CLM000099,POL001373,AGT05175,Flood,2025-07-31,2025-09-04,40756.17,29484.54,Open,British Columbia,35
CLM000100,POL002187,AGT05096,Liability,2021-12-18,2022-04-11,38082.21,0,Denied,Alberta,114
CLM000101,POL006080,AGT07360,Collision,2023-07-08,2023-07-24,16006.74,11133.62,Approved,Alberta,16
CLM000102,POL002808,AGT03188,Liability,2021-11-09,2022-01-30,34851.58,30336.59,Open,Saskatchewan,82
CLM000103,POL008759,AGT04605,Fire,2021-01-23,2021-03-06,52933.21,47346.15,Closed,Manitoba,42
CLM000104,POL002840,AGT03435,Collision,2021-02-20,2021-05-02,26582.59,18941.67,Denied,Saskatchewan,71
CLM000105,POL001452,AGT07097,Liability,2021-02-19,2021-04-03,8519.27,0,Approved,Alberta,43
CLM000106,POL002492,AGT05114,Water Damage,2025-09-08,2025-12-05,2323.92,2098.34,Approved,Alberta,88
CLM000107,POL007153,AGT05261,Flood,2025-06-14,2025-10-09,27146.02,9070.42,Approved,Saskatchewan,117
CLM000108,POL009938,AGT07771,Liability,2021-03-06,2021-05-11,74329.17,2747.7,Denied,Quebec,66
CLM000109,POL008037,AGT03285,Fire,2023-04-05,2023-04-24,63289.74,55657.87,Closed,British Columbia,19
CLM000110,POL006227,AGT07362,Collision,2025-12-11,2026-03-04,26723.99,6612.57,Denied,Quebec,83
CLM000111,POL000532,AGT04238,Flood,2021-02-22,2021-03-25,7397.72,808.33,Closed,Quebec,31
CLM000112,POL002057,AGT06218,Theft,2023-11-08,2023-11-17,36544.3,15642.04,Closed,British Columbia,9
CLM000113,POL008591,AGT00545,Liability,2025-12-08,2025-12-12,3163.65,0,In Review,Alberta,4
CLM000114,POL003989,AGT02651,Fire,2022-07-06,2022-08-16,33396.36,22783.31,Open,Alberta,41
CLM000115,POL005097,AGT01614,Theft,2025-02-24,2025-06-22,29031.29,15788.3,Denied,Manitoba,118
CLM000116,POL004015,AGT02214,Theft,2021-10-07,2021-12-08,45756.44,43864.81,In Review,Ontario,62
CLM000117,POL009232,AGT06034,Collision,2023-02-03,2023-06-03,665.98,0,Closed,Manitoba,120
CLM000118,POL008218,AGT00108,Flood,2025-05-06,2025-05-15,56915.32,42352.38,Denied,Manitoba,9
CLM000119,POL007918,AGT02062,Water Damage,2024-07-17,2024-10-01,12012.59,8194.97,In Review,Quebec,76
CLM000120,POL001923,AGT03077,Theft,2023-08-03,2023-10-09,39447.22,18450.52,Approved,Alberta,67
CLM000121,POL004454,AGT05601,Flood,2023-08-05,2023-08-24,40661.09,34547.41,In Review,British Columbia,19
CLM000122,POL003521,AGT04648,Water Damage,2023-03-19,2023-07-13,53826.1,46153.53,Closed,Saskatchewan,116
CLM000123,POL009968,AGT00435,Liability,2025-11-13,2026-02-20,43252.19,0,Open,British Columbia,99
CLM000124,POL006674,AGT08673,Collision,2024-07-08,2024-07-25,27101.35,10923.55,Denied,Manitoba,17
CLM000125,POL005885,AGT07052,Theft,2025-02-18,2025-05-26,14692.31,9621.31,Approved,Saskatchewan,97
CLM000126,POL005536,AGT09323,Liability,2024-07-16,2024-09-10,60729.42,18529.78,In Review,Alberta,56
CLM000127,POL002885,AGT04068,Theft,2023-06-09,2023-10-04,43503.71,0,Approved,British Columbia,117
CLM000128,POL004142,AGT08881,Liability,2022-01-07,2022-04-04,8831.38,0,Closed,Saskatchewan,87
CLM000129,POL002957,AGT06889,Collision,2021-11-19,2022-02-27,16568.6,8104.46,Denied,Alberta,100
CLM000130,POL007987,AGT04028,Fire,2023-07-16,2023-09-09,72501.4,54177.2,Open,Quebec,55
CLM000131,POL003668,AGT09308,Collision,2023-09-27,2024-01-09,23755.21,16814.52,Approved,British Columbia,104
CLM000132,POL008774,AGT04672,Wind/Hail,2025-01-31,2025-03-01,47289.73,42909.26,Open,Quebec,29
CLM000133,POL009731,AGT03397,Collision,2022-03-19,2022-03-20,3156.51,1371.18,Closed,Quebec,1
CLM000134,POL005058,AGT02944,Wind/Hail,2022-10-17,2023-01-24,18119.81,2934.25,Open,Saskatchewan,99
CLM000135,POL003069,AGT01210,Flood,2022-05-28,2022-08-23,57670.19,32083.27,Closed,Quebec,87
CLM000136,POL000008,AGT02501,Liability,2022-09-22,2022-11-16,70509.38,2801.95,In Review,British Columbia,55
CLM000137,POL004828,AGT04154,Fire,2022-05-19,2022-08-23,3011.64,0,In Review,Alberta,96
CLM000138,POL001698,AGT05422,Collision,2023-11-21,2023-12-25,28707.53,0,Approved,Manitoba,34
CLM000139,POL007342,AGT01670,Fire,2025-05-05,2025-06-09,27512.03,0,Closed,Saskatchewan,35
CLM000140,POL000964,AGT07541,Collision,2021-05-04,2021-05-20,64080.31,8431.03,Approved,Ontario,16
CLM000141,POL002796,AGT03973,Wind/Hail,2023-07-25,2023-11-11,3901.56,1836.82,Closed,Alberta,109
CLM000142,POL009537,AGT05075,Liability,2025-04-13,2025-04-26,59614.11,40640.32,In Review,Quebec,13
CLM000143,POL004049,AGT00901,Water Damage,2025-02-18,2025-04-23,17743.97,17703.59,In Review,Manitoba,64
CLM000144,POL001210,AGT07139,Water Damage,2024-10-03,2025-01-24,74181.75,7999.35,In Review,Saskatchewan,113
CLM000145,POL005190,AGT01866,Fire,2022-11-26,2022-12-27,65648.06,41603.26,In Review,Manitoba,31
CLM000146,POL000710,AGT01389,Liability,2023-05-16,2023-08-30,42466.72,0,Closed,Saskatchewan,106
CLM000147,POL002119,AGT04547,Fire,2023-09-16,2023-10-14,70414.58,70373.15,Approved,Manitoba,28
CLM000148,POL005796,AGT06599,Water Damage,2024-10-13,2024-10-20,47743.09,12809.82,In Review,Ontario,7
CLM000149,POL000493,AGT04841,Fire,2022-11-03,2023-01-09,3819.9,694.52,In Review,Quebec,67
CLM000150,POL007028,AGT09646,Theft,2021-02-16,2021-04-06,70401.05,68849.09,In Review,Alberta,49
CLM000151,POL006694,AGT00317,Wind/Hail,2022-05-10,2022-07-26,61701.14,0,In Review,Alberta,77
CLM000152,POL002014,AGT04948,Theft,2021-11-21,2021-12-28,50569.0,43018.81,Open,Saskatchewan,37
CLM000153,POL000343,AGT01057,Collision,2024-11-27,2024-12-11,20539.15,7211.71,Denied,Ontario,14
CLM000154,POL008540,AGT02463,Fire,2023-10-18,2023-11-13,33829.93,0,In Review,Quebec,26
CLM000155,POL003518,AGT06157,Liability,2024-06-18,2024-08-19,46559.71,11313.04,In Review,Ontario,62
CLM000156,POL004299,AGT08825,Water Damage,2021-08-11,2021-11-30,1015.15,0,Open,Ontario,111
CLM000157,POL007902,AGT04199,Water Damage,2022-09-16,2022-11-27,10770.4,10506.64,Closed,Alberta,72
CLM000158,POL000006,AGT07183,Collision,2023-06-24,2023-08-30,6855.44,3720.31,Open,Alberta,67
CLM000159,POL004086,AGT05964,Fire,2022-01-23,2022-04-15,9834.73,5751.78,Approved,Quebec,82
CLM000160,POL005334,AGT07131,Theft,2021-10-11,2021-11-24,21065.12,16366.32,Denied,Saskatchewan,44
CLM000161,POL007373,AGT02069,Theft,2024-01-30,2024-05-12,68215.5,0,Closed,Saskatchewan,103
CLM000162,POL003335,AGT07431,Fire,2023-10-10,2023-12-08,35373.58,10376.07,In Review,Manitoba,59
CLM000163,POL008428,AGT09011,Theft,2022-02-23,2022-04-28,14455.37,6920.66,Denied,Ontario,64
CLM000164,POL001723,AGT03828,Collision,2025-05-06,2025-05-14,65353.59,31579.95,Open,Manitoba,8
CLM000165,POL005508,AGT08973,Theft,2021-08-15,2021-11-26,2056.04,1241.16,In Review,Alberta,103
CLM000166,POL006650,AGT08609,Flood,2022-02-06,2022-02-16,67850.62,39505.78,Open,Quebec,10
CLM000167,POL007720,AGT00922,Water Damage,2021-12-18,2022-01-27,4159.92,3596.81,In Review,Quebec,40
CLM000168,POL008892,AGT08546,Wind/Hail,2024-04-29,2024-05-19,47485.83,13165.44,Approved,Saskatchewan,20
CLM000169,POL003912,AGT07180,Water Damage,2025-06-21,2025-08-22,11063.08,1311.54,Approved,Saskatchewan,62
CLM000170,POL004714,AGT00715,Theft,2022-12-09,2023-03-17,33455.15,7547.58,Closed,Quebec,98
CLM000171,POL005798,AGT00034,Theft,2024-06-25,2024-10-03,57273.21,0,Approved,Alberta,100
CLM000172,POL000296,AGT07520,Water Damage,2025-03-30,2025-05-19,26136.23,19455.22,Closed,Alberta,50
CLM000173,POL002939,AGT01397,Wind/Hail,2021-03-25,2021-06-06,18664.66,14568.57,Approved,Alberta,73
CLM000174,POL007825,AGT07438,Liability,2024-07-05,2024-09-03,35796.32,21420.76,Closed,Ontario,60
CLM000175,POL005824,AGT06284,Collision,2022-02-04,2022-05-25,33067.45,0,Approved,Saskatchewan,110
CLM000176,POL008276,AGT06108,Theft,2024-01-26,2024-03-15,62440.74,38617.74,Open,Ontario,49
CLM000177,POL001960,AGT04826,Water Damage,2025-07-12,2025-09-30,52746.27,23299.8,Open,Saskatchewan,80
CLM000178,POL003166,AGT09011,Collision,2025-06-14,2025-09-07,63280.38,0,Approved,Saskatchewan,85
CLM000179,POL000281,AGT03493,Theft,2023-02-03,2023-04-23,17692.52,5953.31,Denied,Alberta,79
CLM000180,POL005638,AGT03135,Wind/Hail,2021-05-17,2021-08-11,51121.77,20152.07,Closed,Saskatchewan,86
CLM000181,POL007906,AGT00847,Liability,2023-11-05,2024-02-13,26959.26,7342.9,Closed,Quebec,100
CLM000182,POL003167,AGT00444,Flood,2024-08-24,2024-09-17,2007.65,882.16,Closed,British Columbia,24
CLM000183,POL008948,AGT04341,Theft,2022-08-13,2022-11-10,70128.44,0,Open,British Columbia,89
CLM000184,POL007059,AGT01197,Theft,2023-07-19,2023-07-30,71819.89,25975.49,Approved,Alberta,11
CLM000185,POL007491,AGT08931,Collision,2022-11-05,2023-02-25,41462.41,0,Denied,Manitoba,112
CLM000186,POL002824,AGT00788,Fire,2021-11-21,2022-02-05,19251.17,9794.62,Approved,Alberta,76
CLM000187,POL002397,AGT05269,Fire,2025-11-26,2025-12-15,29012.01,9314.03,Denied,Saskatchewan,19
CLM000188,POL003850,AGT02943,Water Damage,2022-04-09,2022-04-14,29436.01,29220.75,Closed,Saskatchewan,5
CLM000189,POL006166,AGT00619,Collision,2023-10-15,2023-11-19,47993.86,43764.35,Open,Quebec,35
CLM000190,POL007968,AGT07271,Flood,2023-12-19,2024-01-17,47574.09,0,In Review,Manitoba,29
CLM000191,POL008556,AGT06624,Fire,2022-09-16,2022-10-21,44750.22,33215.52,Approved,Manitoba,35
CLM000192,POL008528,AGT07444,Theft,2022-12-14,2023-01-09,10172.08,3795.56,Closed,Quebec,26
CLM000193,POL003759,AGT09871,Flood,2025-01-29,2025-04-20,72305.82,68651.17,Denied,Ontario,81
CLM000194,POL006425,AGT07673,Water Damage,2025-03-15,2025-04-19,56880.72,17560.19,Denied,Manitoba,35
CLM000195,POL007765,AGT00382,Water Damage,2023-04-26,2023-05-01,52804.16,7787.88,Closed,Manitoba,5
CLM000196,POL006446,AGT07977,Theft,2024-11-23,2025-03-08,20080.46,10939.25,Closed,Alberta,105
CLM000197,POL005618,AGT06625,Flood,2024-09-09,2024-09-16,54417.54,11514.99,Open,British Columbia,7
CLM000198,POL008769,AGT06122,Water Damage,2023-06-18,2023-07-20,10272.42,0,Approved,Quebec,32
CLM000199,POL000641,AGT06695,Theft,2021-08-30,2021-12-22,42358.45,0,In Review,Ontario,114
CLM000200,POL004366,AGT01421,Fire,2024-04-07,2024-06-15,12779.8,7214.76,In Review,Quebec,69
CLM000201,POL001206,AGT03927,Fire,2025-04-15,2025-07-08,21466.83,15147.73,Closed,Saskatchewan,84
CLM000202,POL001307,AGT05506,Theft,2025-05-16,2025-08-15,42583.1,8247.75,Closed,Ontario,91
CLM000203,POL004479,AGT00502,Theft,2025-06-19,2025-08-19,13051.17,4154.15,Denied,Saskatchewan,61
CLM000204,POL007643,AGT04848,Fire,2021-01-28,2021-02-15,8038.53,7744.07,Denied,Alberta,18
CLM000205,POL002291,AGT05736,Theft,2023-02-27,2023-06-11,4862.77,0,Approved,Alberta,104
CLM000206,POL001701,AGT06813,Theft,2021-07-27,2021-10-28,18310.88,18213.94,In Review,Saskatchewan,93
CLM000207,POL007535,AGT01679,Liability,2021-06-26,2021-10-17,4605.89,243.93,Denied,Quebec,113
CLM000208,POL004894,AGT00586,Fire,2023-03-25,2023-07-17,42728.24,11457.64,Approved,Alberta,114
CLM000209,POL003441,AGT08153,Flood,2023-10-24,2024-01-18,14572.31,2687.32,Open,Manitoba,86
CLM000210,POL008199,AGT01808,Collision,2025-11-25,2025-12-23,20833.82,20040.64,Approved,Manitoba,28
CLM000211,POL001980,AGT07197,Collision,2021-12-02,2022-01-01,22348.37,0,In Review,Manitoba,30
CLM000212,POL009288,AGT00017,Water Damage,2023-03-12,2023-05-16,53767.57,0,Approved,Manitoba,65
CLM000213,POL000741,AGT06700,Collision,2024-08-30,2024-09-24,42079.32,17277.77,Denied,Alberta,25
CLM000214,POL001768,AGT03976,Liability,2021-10-03,2021-11-26,55448.33,42377.98,Open,British Columbia,54
CLM000215,POL004559,AGT08984,Wind/Hail,2023-04-28,2023-07-15,1395.55,559.32,Open,British Columbia,78
CLM000216,POL005128,AGT01476,Wind/Hail,2025-09-07,2025-12-04,21905.1,3306.99,Open,Ontario,88
CLM000217,POL007330,AGT05740,Wind/Hail,2022-08-20,2022-09-22,17086.02,4535.14,In Review,Ontario,33
CLM000218,POL006800,AGT06144,Liability,2025-01-29,2025-05-07,1045.32,822.12,Open,Quebec,98
CLM000219,POL006131,AGT06663,Water Damage,2025-03-17,2025-04-28,8719.89,6117.05,Approved,Ontario,42
CLM000220,POL003052,AGT01199,Flood,2025-02-06,2025-05-16,23878.35,12588.47,Approved,Saskatchewan,99
CLM000221,POL001011,AGT07535,Liability,2024-09-22,2025-01-17,16096.24,6438.49,In Review,Alberta,117
CLM000222,POL005560,AGT01788,Flood,2024-01-08,2024-02-13,9003.9,6190.19,Approved,Alberta,36
CLM000223,POL004393,AGT06841,Flood,2024-09-30,2024-10-14,46539.27,14145.38,Approved,British Columbia,14
CLM000224,POL006126,AGT03177,Fire,2022-07-21,2022-08-10,73583.66,18048.58,Denied,British Columbia,20
CLM000225,POL003715,AGT08143,Wind/Hail,2023-05-21,2023-09-17,65406.62,0,Open,Ontario,119
CLM000226,POL001871,AGT07384,Fire,2024-10-16,2024-11-05,65212.19,48866.86,In Review,Saskatchewan,20
CLM000227,POL002786,AGT07508,Fire,2024-08-22,2024-09-02,44203.52,16005.29,Open,Ontario,11
CLM000228,POL004536,AGT04008,Flood,2025-09-24,2025-12-03,7815.56,1870.74,Denied,Alberta,70
CLM000229,POL002996,AGT04896,Wind/Hail,2025-02-02,2025-04-21,72949.57,29143.64,Closed,Ontario,78
CLM000230,POL004145,AGT03254,Water Damage,2025-06-20,2025-07-14,31699.25,2018.41,Open,Saskatchewan,24
CLM000231,POL003472,AGT00619,Fire,2021-10-23,2022-02-20,51192.83,0,Closed,Saskatchewan,120
CLM000232,POL001473,AGT04436,Theft,2023-08-28,2023-09-22,23352.9,15633.93,Approved,Quebec,25
CLM000233,POL001424,AGT06566,Flood,2023-02-03,2023-02-13,37351.77,12223.52,Open,Saskatchewan,10
CLM000234,POL007849,AGT03411,Wind/Hail,2024-12-02,2025-02-26,19794.37,831.33,In Review,Saskatchewan,86
CLM000235,POL000993,AGT03442,Flood,2025-01-17,2025-03-09,51975.61,0,Closed,British Columbia,51
CLM000236,POL002894,AGT00199,Water Damage,2022-10-09,2022-11-24,48152.3,0,Closed,Alberta,46
CLM000237,POL001169,AGT00822,Flood,2024-08-13,2024-11-24,48035.54,30028.13,Open,Saskatchewan,103
CLM000238,POL004468,AGT08511,Flood,2025-12-09,2026-02-07,43768.14,26152.1,Open,Manitoba,60
CLM000239,POL002929,AGT02118,Flood,2023-07-02,2023-07-03,63630.13,38512.82,In Review,Quebec,1
CLM000240,POL000756,AGT04208,Collision,2023-06-07,2023-08-15,45203.54,0,In Review,Alberta,69
CLM000241,POL006196,AGT03196,Flood,2024-08-07,2024-09-06,66891.86,51036.27,In Review,Ontario,30
CLM000242,POL004107,AGT07489,Wind/Hail,2021-08-03,2021-08-06,50397.59,48713.06,Closed,Ontario,3
CLM000243,POL009459,AGT07812,Water Damage,2025-09-30,2025-11-15,10649.75,5086.29,Denied,Manitoba,46
CLM000244,POL006041,AGT00259,Collision,2023-12-21,2024-03-22,33005.64,15826.74,Approved,Ontario,92
